	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Tfdp2	5.17115988979218E-21	-0.435228619324251	0.167	0.265	8.83906359962177E-17
Zfp106	2.91355490000407E-07	-0.435228867075591	0.338	0.328	0.004980139390577
Pten	2.70282064713149E-15	-0.435430560758582	0.239	0.303	4.61993133214185E-11
Clns1a	1.04200081563094E-20	-0.435607796726797	0.228	0.316	1.78109199415797E-16
Psmg2	4.59805387187251E-13	-0.435643110349364	0.223	0.277	7.85945348319169E-09
Wdr74	9.84475103512736E-12	-0.435886804992719	0.273	0.308	1.68276329443432E-07
Cyhr1	4.10638233961427E-16	-0.43629120454603	0.239	0.306	7.01903933310268E-12
Usp1	3.84297031961158E-16	-0.436547808693437	0.215	0.285	6.56878916731208E-12
Jtb	1.98555485207993E-11	-0.436833416819358	0.548	0.471	3.39390890866022E-07
Vps4b	4.66950618438615E-16	-0.436894253653227	0.197	0.271	7.98158692097124E-12
2310011J03Rik	2.41352353858551E-17	-0.437375809643531	0.236	0.306	4.1254357845042E-13
Lmna	1.28223044721567E-09	-0.437637643162875	0.25	0.284	2.19171650342575E-05
Pgd	2.30883431715508E-22	-0.438830499428233	0.187	0.291	3.94649049831318E-18
Psmd1	3.09537964296811E-22	-0.439025545004795	0.208	0.309	5.29093242372538E-18
Smu1	1.21700269917231E-18	-0.43922997614978	0.207	0.288	2.08022271369523E-14
Sptbn1	2.40420414658001E-15	-0.439312530542527	0.241	0.305	4.10950614774922E-11
Csnk2a2	1.34281308875214E-18	-0.439321602693338	0.187	0.272	2.29527041260403E-14
Gstm5	7.14004552812852E-10	-0.439475654043795	0.355	0.354	1.22044798212301E-05
Sms	7.58327738121573E-20	-0.439844621313595	0.173	0.266	1.2962096027712E-15
Nr3c1	5.87020366571004E-21	-0.440363769920012	0.178	0.275	1.00339391257982E-16
Apoo	5.8425353211866E-25	-0.440779753308428	0.17	0.283	9.98664562450426E-21
Sh3bgrl	1.88734260220091E-09	-0.4410222870513	0.278	0.3	3.22603470994201E-05
Parp2	9.67817860590992E-24	-0.441073278268514	0.167	0.278	1.65429106910818E-19
Tra2b	3.18768256285024E-13	-0.441237561180079	0.418	0.417	5.44870580467992E-09
Gm2000	5.05968216024283E-20	-0.4415982498602	0.246	0.327	8.64851471650306E-16
