"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Sult1d1"	1.83093542768732e-136	0.377963481252369	0.701	0.386	3.12961792654593e-132
"Agr2"	1.4831926470953e-135	-4.44110848242117	0.544	0.646	2.53522119167999e-131
"Rnaseh2c"	2.25704011409324e-133	0.397852208382245	0.92	0.633	3.85795866701957e-129
"Emg1"	5.31321702387527e-133	0.394630453353176	0.904	0.616	9.08188185891001e-129
"Ndufv2"	2.47788704307317e-132	0.384166959596968	0.977	0.782	4.23545232272496e-128
"Zfp91"	7.10653514402457e-132	0.400135844938571	0.841	0.547	1.21472005216812e-127
"mt-Co1"	1.26359636488769e-131	-0.515212101241956	1	0.992	2.15986526650253e-127
"Rbm8a"	1.48841317095293e-131	0.402367889612491	0.837	0.54	2.54414463310984e-127
"Psmb2"	1.08477942704394e-130	0.386483726210417	0.98	0.8	1.85421347464621e-126
"Timm9"	2.22633050474679e-130	0.382954617803645	0.738	0.428	3.80546673176368e-126
"Mrps31"	5.6851598184105e-130	0.388583270387941	0.797	0.495	9.71764367760908e-126
"Ndufs3"	1.57717973540654e-129	0.385956383942815	0.959	0.731	2.6958733217304e-125
"U2af1"	7.61421429413135e-128	0.407166143541228	0.913	0.668	1.30149764929587e-123
"Plpp2"	1.9523937545041e-127	0.384985802226594	0.79	0.483	3.33722664457385e-123
"Nsmce4a"	2.69580223654295e-127	0.376074222685625	0.808	0.493	4.60793476292287e-123
"Mrpl15"	6.58647175126625e-126	0.399357944236863	0.895	0.617	1.12582561644394e-121
"Dnajc19"	9.80119873701096e-126	0.393554456156912	0.841	0.552	1.67531890011728e-121
"Uqcrc1"	1.30640535854059e-122	0.404963263933279	0.957	0.752	2.23303867935344e-118
"Mrps18b"	2.05294690603159e-122	0.380838107252229	0.749	0.445	3.5091021464798e-118
"Tmem14c"	4.51047573872545e-122	0.378104064106975	0.961	0.773	7.70975618020341e-118
"Mrps26"	5.15555154110364e-122	0.378076317775468	0.766	0.467	8.81238424920845e-118
"Defa30"	2.55925531653771e-120	-3.22723306003722	0.958	0.957	4.37453511255791e-116
"Tspo"	8.64671088231614e-119	0.372345675939127	0.92	0.655	1.4779822911143e-114
"Nudc"	1.40530639750497e-117	0.385618226381657	0.87	0.594	2.40209022525524e-113
